City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Rikitea,PF,73.54,clear sky,-23.1203,-134.9692,People ThankYou
8,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
9,Acapulco,MX,85.98,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
10,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
11,Ormara,PK,82.44,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
13,Meadow Lake,US,81.37,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
17,Kailua,US,82.38,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
18,Marsa Matruh,EG,75.4,few clouds,31.3525,27.2453,Beau Site
22,Bethel,US,72.01,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
28,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
30,Kahului,US,82.98,few clouds,20.8947,-156.47,Maui Seaside Hotel
32,Ridgecrest,US,85.68,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
35,Mucuri,BR,77.13,overcast clouds,-18.0864,-39.5508,La Bodeguita Pousada
36,Abu Samrah,SY,75.24,clear sky,35.3029,37.1841,
38,Touros,BR,85.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
40,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
41,San Patricio,US,87.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
42,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
43,Atuona,PF,78.55,clear sky,-9.8,-139.0333,Villa Enata
51,Paciran,ID,77.85,few clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
53,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
54,Souillac,MU,71.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
55,Nioro,GM,82.83,overcast clouds,13.35,-15.75,
58,Ponta Do Sol,PT,75.0,broken clouds,32.6667,-17.1,Hotel do Campo
60,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
