City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Upernavik,GL,72.7868,-56.1549,25.41,64,0,2.55,clear sky
1,Norman Wells,CA,65.282,-126.8329,33.84,80,75,12.66,broken clouds
2,Sosnogorsk,RU,63.6023,53.8817,39.81,77,100,9.46,overcast clouds
3,Cape Town,ZA,-33.9258,18.4232,62.28,74,0,3.0,clear sky
4,Busselton,AU,-33.65,115.3333,57.04,90,76,14.36,broken clouds
5,Barrow,US,71.2906,-156.7887,26.62,80,90,10.36,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,47.86,43,40,5.75,scattered clouds
7,Rikitea,PF,-23.1203,-134.9692,73.54,75,6,18.63,clear sky
8,Saint-Philippe,RE,-21.3585,55.7679,71.19,88,55,13.96,light rain
9,Acapulco,MX,16.8634,-99.8901,85.98,68,99,6.04,overcast clouds
10,Avarua,CK,-21.2078,-159.775,75.25,73,75,1.14,broken clouds
11,Ormara,PK,25.2088,64.6357,82.44,77,6,9.6,clear sky
12,Kaeo,NZ,-35.1,173.7833,51.33,92,100,4.7,overcast clouds
13,Meadow Lake,US,34.8014,-106.5436,81.37,43,69,8.95,broken clouds
14,Hasaki,JP,35.7333,140.8333,64.8,70,4,13.94,clear sky
15,Qaqortoq,GL,60.7167,-46.0333,45.1,53,1,0.78,clear sky
16,Mataura,NZ,-46.1927,168.8643,30.04,97,4,2.39,clear sky
17,Kailua,US,21.4022,-157.7394,82.38,76,75,10.36,broken clouds
18,Marsa Matruh,EG,31.3525,27.2453,75.4,60,20,11.5,few clouds
19,Porto Murtinho,BR,-21.6989,-57.8825,106.25,15,63,6.35,broken clouds
20,Itaituba,BR,-4.2761,-55.9836,91.56,62,20,9.26,few clouds
21,Vaini,TO,-21.2,-175.2,68.16,88,75,3.44,broken clouds
22,Bethel,US,41.3712,-73.414,72.01,55,75,10.36,broken clouds
23,Namibe,AO,-15.1961,12.1522,63.43,83,46,6.98,scattered clouds
24,Deputatskiy,RU,69.3,139.9,27.52,87,100,20.11,overcast clouds
25,Adwa,ET,14.1646,38.8955,61.27,87,20,3.56,few clouds
26,Port Elizabeth,ZA,-33.918,25.5701,64.69,88,75,3.44,light rain
27,Nikolskoye,RU,59.7035,30.7861,49.89,92,97,5.53,overcast clouds
28,Georgetown,MY,5.4112,100.3354,76.95,98,40,5.01,scattered clouds
29,Provideniya,RU,64.3833,-173.3,34.52,93,85,7.92,light rain
30,Kahului,US,20.8947,-156.47,82.98,79,20,18.41,few clouds
31,Pevek,RU,69.7008,170.3133,30.51,96,100,15.99,light snow
32,Ridgecrest,US,35.6225,-117.6709,85.68,25,1,3.0,clear sky
33,Punta Arenas,CL,-53.15,-70.9167,48.31,46,75,13.8,broken clouds
34,Gelemso,ET,8.8167,40.5167,62.92,73,38,3.58,scattered clouds
35,Mucuri,BR,-18.0864,-39.5508,77.13,64,100,14.7,overcast clouds
36,Abu Samrah,SY,35.3029,37.1841,75.24,25,5,5.28,clear sky
37,Iquique,CL,-20.2208,-70.1431,62.64,62,18,3.76,few clouds
