City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yellowknife,CA,2021-09-25 15:29:56,62.456,-114.3525,280.6,100,90,3.6
1,Turukhansk,RU,2021-09-25 15:34:03,65.8167,87.9833,273.05,83,3,3.52
2,Kapaa,US,2021-09-25 15:34:04,22.0752,-159.319,297.33,80,1,0.45
3,Mataura,NZ,2021-09-25 15:34:04,-46.1927,168.8643,277.3,97,81,2.27
4,Provideniya,RU,2021-09-25 15:34:04,64.3833,-173.3,272.05,83,100,3.7
5,Avarua,CK,2021-09-25 15:29:58,-21.2078,-159.775,298.18,69,90,6.17
6,Hadejia,NG,2021-09-25 15:34:05,12.4498,10.0444,307.15,32,55,2.84
7,Mae Hong Son,TH,2021-09-25 15:34:05,19.3003,97.9685,296.62,98,99,0.81
8,Ushuaia,AR,2021-09-25 15:30:12,-54.8,-68.3,278.96,65,75,6.69
9,Castro,BR,2021-09-25 15:34:06,-24.7911,-50.0119,299.24,44,19,3.15
10,Mangan,IN,2021-09-25 15:32:31,27.5167,88.5333,296.52,83,65,1.39
11,Ajdabiya,LY,2021-09-25 15:34:06,30.7554,20.2263,297.38,52,0,5.95
12,Chuy,UY,2021-09-25 15:34:07,-33.6971,-53.4616,291.08,77,43,4.7
13,Arraial Do Cabo,BR,2021-09-25 15:34:07,-22.9661,-42.0278,298.13,64,75,11.83
14,Tanabe,JP,2021-09-25 15:34:07,33.7333,135.3667,296.44,71,99,2.86
15,Cabinda,AO,2021-09-25 15:34:08,-5.55,12.2,301.23,69,40,3.6
16,Punta Arenas,CL,2021-09-25 15:32:18,-53.15,-70.9167,279.21,56,75,9.77
17,Busselton,AU,2021-09-25 15:29:47,-33.65,115.3333,286.51,66,90,5.45
18,Rikitea,PF,2021-09-25 15:34:08,-23.1203,-134.9692,296.5,73,29,7.61
19,Piracaia,BR,2021-09-25 15:34:09,-23.0539,-46.3581,293.96,26,32,2.91
20,Lorengau,PG,2021-09-25 15:34:09,-2.0226,147.2712,300.78,79,31,3.72
21,Chokurdakh,RU,2021-09-25 15:34:09,70.6333,147.9167,273.49,98,100,6.02
22,Hambantota,LK,2021-09-25 15:32:24,6.1241,81.1185,300.34,83,40,3.09
23,Barrow,US,2021-09-25 15:34:10,71.2906,-156.7887,266.16,86,90,2.06
24,Hermanus,ZA,2021-09-25 15:34:10,-34.4187,19.2345,293.04,57,33,5.97
25,Maniitsoq,GL,2021-09-25 15:34:11,65.4167,-52.9,272.59,49,0,1.73
26,Cape Town,ZA,2021-09-25 15:29:57,-33.9258,18.4232,292.66,71,0,7.2
27,Norman Wells,CA,2021-09-25 15:34:11,65.282,-126.8329,273.17,100,75,5.14
28,Mar Del Plata,AR,2021-09-25 15:32:45,-38.0023,-57.5575,290.42,58,90,0.89
29,Acajutla,SV,2021-09-25 15:34:12,13.5928,-89.8275,304.34,70,93,1.24
30,Plettenberg Bay,ZA,2021-09-25 15:34:12,-34.0527,23.3716,290.02,71,70,2.34
31,Iracoubo,GF,2021-09-25 15:34:12,5.4802,-53.2011,303.48,66,42,4.86
32,Envira,BR,2021-09-25 15:34:13,-7.3,-70.2167,305.25,48,92,0.9
33,Kaitangata,NZ,2021-09-25 15:34:13,-46.2817,169.8464,276.59,89,28,3.9
34,Chicama,PE,2021-09-25 15:34:13,-7.8447,-79.1469,287.45,63,74,3.98
35,Mlowo,TZ,2021-09-25 15:34:14,-9.0,32.9833,295.11,37,89,4.34
36,Tiarei,PF,2021-09-25 15:34:14,-17.5333,-149.3333,297.16,76,5,4.06
37,Cabo San Lucas,MX,2021-09-25 15:34:14,22.8909,-109.9124,301.82,69,10,0.82
38,Jutai,BR,2021-09-25 15:34:15,-5.1833,-68.9,305.71,50,92,0.86
39,Kudahuvadhoo,MV,2021-09-25 15:34:15,2.6708,72.8944,301.16,78,87,7.32
40,Balkhash,KZ,2021-09-25 15:34:15,46.844,74.9804,284.4,40,33,3.3
41,Puerto Madero,MX,2021-09-25 15:34:16,14.7208,-92.4215,301.26,78,75,0.0
42,Tessalit,ML,2021-09-25 15:34:17,20.1986,1.0114,312.61,6,3,5.41
43,Nyurba,RU,2021-09-25 15:34:17,63.2842,118.3319,273.86,86,8,2.04
44,Zhicheng,CN,2021-09-25 15:34:17,30.2956,111.5047,299.19,83,38,2.02
45,Vostok,RU,2021-09-25 15:34:18,46.4856,135.8833,281.01,76,100,1.49
46,Nantucket,US,2021-09-25 15:30:36,41.2835,-70.0995,295.39,87,42,3.81
47,Marawi,PH,2021-09-25 15:34:18,7.9986,124.2928,291.84,95,100,1.91
48,Jamestown,US,2021-09-25 15:34:19,42.097,-79.2353,292.09,40,100,2.24
49,Hilo,US,2021-09-25 15:34:19,19.7297,-155.09,295.16,78,1,3.09
50,Hasaki,JP,2021-09-25 15:34:19,35.7333,140.8333,292.37,62,99,7.23
51,Albany,US,2021-09-25 15:32:14,42.6001,-73.9662,295.54,76,85,1.52
52,Bangui,CF,2021-09-25 15:34:20,4.3612,18.555,305.25,58,40,1.54
53,Nikolskoye,RU,2021-09-25 15:34:20,59.7035,30.7861,283.37,94,100,3.48
54,Ust-Tsilma,RU,2021-09-25 15:34:21,65.441,52.1498,281.07,88,100,5.52
55,Magdagachi,RU,2021-09-25 15:34:21,53.45,125.8,284.73,85,93,1.52
